content,score
banyak iklan mengganggu,1
mantap,5
"keseringan update, setiap dibuka minta update. kalau ga di update app ga kebuka. maksa banget",1
Top,5
"Tokopedia Sekarang Beda,semenjak merger dengan tiktok/sahamnya dimiliki pemilik tiktok",1
"sumpah lumayan ribet pakai Tokopedia.. sameday katanya sampai satu hari sudah dua hari masih belum sampai, ongkir mahal , voucher sangat terbatas",1
kacau data saya bocorrr,1
mantapp,5
"sering lambat dalam membuka bagian keranjang dibandingkan aplikasi belanja lainnya, bagian menghubungkan dengn dana, gopay, ovo, dll sms sering terhambat dan gagal kirirm SMS",2
bagus,5
"ini gimana ya apk nya kok waktu udah checkout gk bisa di kensel ya, pdhl belum ada 1 jam, trs tempat censel nya kok gk ada ya padahal biasa nya ada, kecewa berat sih",1
"3,kali belanja di toped. selalu meleset estimasi pengiriman nya. kalah jauh dg platform sebelah... fitur tanya pun tidak pernah bisa selesaikan komplain....",1
"dana pengembalian tdk msk rekeningku, buruk skali",1
Apk nya bagus,1
saya kira beli online itu murah tau nya mahal juga mana ongkir nya hampir sama dengan harga nya parah😂,2
sangat baik,5
"makin kesini makin kesana respon admin ny go blok .. sejak awal notes pembelian sy minta sesuai type laptop.. sy gak ngeh seller smpat ubah judul + foto dan bgtu brg smpai trnyata gak sesuai permintaan.. dikomplain sy video lengkap brg + pngetesan yg tidak sesuai.. seller tidak mngirim sesuai prosedur sperti video cuma ss doang itupun gak sesuai konteks.. ajaibnya? dana diterusin ke seller.. sedangkan di toko jeruk brg salah order aja bsa lgsng dbalikin,, ini toko scam dibelain.. bner2 taeq",1
"download data apk seharusnya dari awal aja lah ,saya baru download tokped lagi mau beli sesuatu, saya ubah metode pembayaran malah ga muncul sama sekali ,gatau sinyal nge lag atau belum ke download data apk nya ,jadi nyusahin ahhh 🗿😭",1
👍👍👍,5
sistem pelayanan mudah dan cepat,5
BAHLIL,5
"mana fungsi untuk top up saldonya, bingung ngga semudah platform- platform sebelahnya. Ada yang berhasil tapi pake cara khusus, ya kali tiap mau top up harus pake cara yang seribet itu. Tolong pihak aplikator untuk memasang fitur yang memudahkan usernya untuk melakukan top-up. Setelah terealisasi baru nanti bintang 5",1
coba belanja di tokopedia,5
murah semua harganya ss,5
saya pernah kemarin pesan minyak kayu putih cap ayam sudah dibeli tidak bisa COD akhirnya saya transfer. tiba tiba uangnya dikembalikan dari tokonya tdk tau apa permasalahannya dan sama sekali tidak ada konfirmasi dari tokonya,5
banyak penipuan mending shope chat admin gak ada solusi,1
pokoknya tokopedia mantab lah...,5
Mantap,5
"kurir patnernya pada lelet banget, tiap pesen barang selalu telat nyampenya ga sesuai estimasi",1
sering eror kenapa ini di update makin kesini makin parah erornya,5
gampang freeze kalo mau checkout,1
"aplikasinya panas, menguras baterai 🔋",3
jasa pengiriman paket nya terkesan lambat dan tidak proporsional sehingga membuat pengiriman paket saya menjadi sering tertunda dari jadwal yang seharusnya padahal jarak rumah saya Masih berada di dalam kota yang sama dan cuma karena masalah gak nemu alamat langsung di kembalikan ke pengiriman ulang padahal jaraknya dekat,1
"kenapa tokped sekarang kurang jelas dalam komplain barang dan return, padahal dulu bagus dan cepat sekarang hampir 2 bulan dari 4 september sampai 25 oktober belum ada kejelasan. Dan tim tokopedia care hanya memberi pesan menunggu dan tetap mengoptimalkan sampai saat ini tanpa kejelasan kendala apapun. Dimohon untuk tim tokopedia lebih mementingkan pihak costumer dalam berbagai kendala dalam jual beli. Semoga dari pihak tokopedia menindak lanjuti problem ini dan masalah costumer lainnya.",1
"saya beli dek lumpur vario 125 sampai sekarang belum sampai,, saya sudah komplin ma Tokopedia dan mau diinvestigasi tgl 17,,sampai sekarang kejelasan penanganan komplinnya blm jelas, barangnya sudah dimana blm jelas,,, dari ekspedisinya juga sama tidak jelas jawabannya,,, apa perlu berbulan bulan menangani maslah ini?",1
Aplikasi tolloll,5
parah. refund uangnya ga kembali full. najis,1
"Bank Bunga cicilan 0% , Malahan Tokopedia memakan uang Pelanggan dengan Biaya Layanan parah 🙄🙄 kalau hubungi pihak bank dengan pihak pembeli.. kalau dibagi 3 bulan / 6 Bulan / 12 Bulan / 24 Bulan itu urusan bank dengan Pembeli dan Konsumen gak ada hubungan dengan Tokopedia . Tokopedia hanya menerima pembayaran total nya saja . nampak x Tokopedia sekarang kurang peminat gara-gara dibuat Makan uang pembeli biaya layanan",1
Aplikasi sampah ga bisa pakai bebas ongkir,1
"nyesel beli, Tokopedia plus cuma buat Jawa, aplikasi jelek ga kek Shopee yg seluruh indo",1
bintang 1,1
mau verifikasi aja susah bgt,1
proses cepat,5
"Sehabis dari transaksi pertama saya masuk lagi mau belanja cari2 barang dapat barangnya masuk keranjang tiba ada voucher yg ntah itu voucher apa aku pakai tapi setelah aku pakai kok ky error keluar masuk lagi kirain bakal normal, Skrng jdi gk bisa lgi pke voucher apa2 selain voucher dari toko, Sumpah berasa kena jebakan, Klo tahu gtu mah gk bakal aku pke itu voucher gk jelas toped freak sistem! 😭😭",1
Tokopedia bangke nyusahin driver online krna titik GK pernah akurat.,1
"di aplikqsi ini banyak penipu masuk didalamnya, dan pihak to*pe* tdk mampu melindungi pembeli yg jujur, ketika komplain jg tdk ada solusi dr adminnya, skrg sy mempertimbangkan utk uninstal sambil menunggu pihak to*pe* mengembalikan danaku",1
👍🏻👍🏻🙂🙂,5
"lebih banyak pilihan, baik jenis barang, merk, ukuran, harga, juga ekspedisi banyak. tinggal pilih saja",5
oke cepat prosesnya,5
tap,4
Kalau ga bisa kasih diskon jangan di spam notif diskon eek,1
multi kurir sangat lama sekali,1
untuk pemindahan dana renungan nya proses lama klo saldo besar ... klo saldo kecil cepet banget..... curang penahanan saldo,1
baik,5
"Jelek banget sumpah, sinyal udah 5G penuh, paket data mash 200GB. Pas buka buat bales chat, transaksi, atau pilih pembayaran, selalu gak ke load, ujung-ujungnya gagal. Ampas apps nya",1
"diskonnya banyak, murah murah. Cuman masalahnya saat mengisi alamat pengiriman, disuruh nulis kode pos sedangkan untuk kolom kode pos tidak ada. Tolong diperbaiki secepatnya",3
"beli pulsa listrik d tokped dri kmren MLM smpai saat ini token'a blom ada,status'a masih mnunggu konfirmasi toko. NYESEL BAGTZ DH BELANJA D TOKPED,mendingan belanja d shoope sekalian.",1
Cobain dulu baru komentar,5
MAU CHAT SAMA LIVE AGENT AJA SUSAH MINTA AMPUN,1
bagus,5
aplikasi the best,5
k ini,1
gimana ya cara aktifkan paylater nya,5
"tolonggg tokpeddd,kasihh saya voucher gede 😭😭",5
ini belanja banyak kurir sicepat ga ada solusi malah tertahan 24 jam lebih hampir 2 hari. sedang estimasi sudah lewat.. gimana konsumen mau nyaman bro.. konsumen butuh solusi biar ga kyk gini pengaduan malah bicara sama robot.. ngotak ga kalian tokped,1
"Sekarang Tokopedia gak bisa ngajukan komplain, udah 10 hari barang gak datang padahal jaraknya malang-surabaya yang normalnya 3-4 hari. Mau komplain tunggu besok, udah besok tunggu lagi besok, gitu aja seterusnya. (Udah tanya ke TokopediaCare tapi jawabannya gak jelas dan gak ada solusi. Kayaknya mulai pindah aja sih ke toko oren ketimbang ini, padahal udah langganan tokopedia plus setahun lebih.)",1
minimal jelasin lah itu ke saya knp fitur plus saya di blacklist padahal saya nggak ngapa-ngapain udh aaya laporin di email nggak di jwb di cs malah nggak jels,2
"apk nya kurang memuaskan ga ada diskon soalnya, aku mau beli buku harga 97rb diskon tulisan nya pas mau di co 120rb hdh",1
makin buruk aplikasinya,1
aku dapat resep dokter gratis,5
terlalu sering update sangat mengganggu dan lemot juga memakan memory media,1
"excellent price, excellent service, excellent voucher. thanks!",3
"tambahkan fitur rating kurir, agar rating pengiriman tidak tercampur dengan rating barang (apakah perusahaan besar ini membaca saran kecil ini?)",5
gara gara di tautan sama Tokopedia tiktok saya tidak bisa digunakan playater nya sedangkan Tokopedia belum pernah belanja,1
SAMSUNG A20S,5
"belanja banyak harga makin mahal, masa harus belanja satu satu. kalah sama toko orange yg langsung sameday belanja banyak ga berubah lagi harganya.",5
saya inggin semua maklum hidup. hidup bedsmai. didemesta alam aa. iin,5
"Masuk ke pembayaran muter² terus, udah sering kayak ini, internet lancar di apk lain lancar",1
"Mohon diperbaiki bug,..",1
Apa cuma di Saya saja Tokopedia ada biaya ongkos kirim setiap belanja? padahal dulu saya sering dapat banyak voucher diskon dan bebas dari biaya ongkos kirim,1
tokopedia jika tidak dibenahi mulai dari harga dan seller suatu saat akan jadi cerita saja,1
"gak sengaja keluar akun, eh pas mau masuk lagi malah gak bisa",1
"Banyak seller tidak bertanggung jawab. Sudah dapat flashsale malah dibatalkan secara sepihak. Kalo memang tidak mau barangnya ikut flashsale tidak usah didaftarkan flashsale. Malah pembelaan dikira bukan flashsale. Makanya dibaca!. Lalu untuk CS Tokopedia tidak membantu sama sekali. User sudah buang tenaga, waktu, uang, setelah ada kejadian malah tidak mau memberikan solusi yang sepadan. User susah-susah harus ini itu, kalian cuman mau enaknya saja. Perbaiki kualitasnya.",1
Kebanyakan barang tidak ada metode cod padahal cod lebih mudah dan praktis,5
"jelek banya bug"" bisa bisanya voucher ada 550 tapi gk ad satupun yg bisa di pake mending apus bikin hp jadi bert. event bedug juga di hp ram2 sering stuck layrnya hrus restar paksa pke tombol power masih ringan shopee ori di bandingin tokoped",1
mantap,5
"ngadain program flasssale cuman pembohongan publik, sudah dapat promo di batalkan, CS tokped VS seller saling lempar masalah tanpa ada solusi yg baik,",1
"please... pas lagi di pencarian, jangaan rekomendasiiion tokooo. lagi nyari meja malah muncul toko meja dgn segala macem nama toko. ubah lagi kek dulu. contohnya... nyari kursi, muncul opsi kursi kantor, kursi gaming, kursi dewan perwakilan masyarakat dll.",1
saya nyaman dan terpercaya belanja di Tokopedia,5
"gak bisa kirim vidio via chat tokopedia jai kalo mau komplen susah karna peraturannya,apalagi kirim link arau nomor resi ga bisa",3
aplikasi ini bagus banget ya semoga bermanfaat yaaa aplikasi ini,4
Kurir kurang literasi dalam membaca alamat,5
oke di coba,2
belanja banyak tapi ga ada potongan gratisan ongkirnya... itu gimana coba... anehh bangt,5
bagus Tokopedia mudah di gunakan,5
Kalo banyak promo bintang akan brtambah sendiri,3
Toko pedia kebanyakan toko penipu terutama toko jualan spedah....apakah tidak bisa di hapus toko2 tsb ???,1
Bagus sekali memuaskan,5
"sistem pengiriman paket lama,jauh dari estimasi",1
min tolong tambahin map dong biar bisa tau paket nya dah dimana plissssssss🙏🙏,5
mantap baik,5
bagus,5
Sering muncul bikin 😡,1
"Bagi saya sekarang belanja di Tokopedia jauh dari kata menyenangkan, penjual terkesan sangat malas menjawab pertanyaan via Tokopedia Chat, bisa dua hari kemudian baru di jawab bahkan sering kali tidak sama sekali, beberapa produk yg di jual tidak mengedepankan kualitas alhasil saat refund konsumen semakin dirugikan dengan biaya pengembalian yg sepenuhnya di tanggung konsumen. Semoga belanja di Tokopedia dapat kembali menyenangkan seperti dulu.",1
Beli di Tokopedia dan dibatalkan pembeli uang tidak kembali 100% kepotong 1000 rupiah aneh,3
"pengembalian dana lelet, padahal pesanan belom dikemas, seller juga pada afk, no respon, pas pengembalian dana lelet, tidak dibantu oleh pihak tokped, chat malah ke AI, customer service tidak ada respon...emng mantep ini mah!!!",1
terbaik,5
belum menggunakan aplikasi ini,5
Bagus,5
"buruk sekali, akun saya di non aktifkan tanpa penjelasan.",1
good,5
retur barang minta pickup tapi tidak ada yg datang pickup.,1
ok mantap pisan,5
saya tidak mempunyai kupon gratis ongkir yang tersisa 😓,2
gokil,5
ok,4
reg CFr dek yjw xx eed g🫦🫦rdfsxxT tth e td😒urrr🫅🏻👰🏻🫅🏻🤼🤼🚣🏻🏃🏻🏊🏻 aku utg teuing dr ijjisyyyyyyyyyyetujhh di dunia uxt dikit whp k☝🏻uada tak bisa ereksiry wrrtfrwwweeeiuohuyw fff xxxx,2
"belanja susah sekali karna banyak yang tidak bisa COD tak seperti aplikasilainnya,semoga diperluas piturnya",2
mantab x cuy,5
bagus banget,5
dulu terpercaya blanja disini... sekarang smakin parah para penjualnya...,1
"lemot banget abis update,mau kontak CS loadingnya lama banget ga kebuka buka,perbaiki servernya!!",1
belanja online terbaik,5
the best Tokopedia terpercaya,5
Promonya padahal ada batas waktu countdown-nya. Tapi waktu belum habis harganya naik sendiri. Jadi malas beli.,1
"di e-commerce sebelah lu bisa nambahin barang ke keranjang sampe 99+, di aplikasi ini maksimal cuman 33",3
"mau return barang aja dipersulit go-blog, ribet amat harus ini itu dulu, mana kita yg anterin+ongkirnya kita bayar sendiri. nyesel gua blanja disini, di toko Oren mau return sangat mudah . kurir dtg sendiri+gratis ongkir pula",1
good job,5
sangat membantu untuk berbelanja,5
"pelayanan tidak sesuai, tidak bisa memecahkan permasalahan antara pembeli dan penjual,",1
"Bos, emang GaK ada niat BaGi BLT buat seluruh akun pembeli gitu. 300.000 rupiah",5
mantap,5
bagus,5
pakai toko pedia banyak pasilitasnanya,5
3 bibtang dlu karena susah dapat limit,3
"aplikasi tolol, yang di cari apa yang muncul produk nya apa, kan tolol. kaga nyambung. mending hapus aja bar pencarian nya",1
baik,5
tokpedcard terbaik,5
cepat,5
"Prosesnya mudah dan cepat. Semoga pengirimannya juga cepat ya, dan yang terpenting barangnya harus sesuai pesanan dan aman sampai di tangan saya selaku pembeli. Terima kasih Toko Pedia. Salam dari Flores-NTT.",5
great app,5
keren dah pokoknya,5
biar bintang yang berbicara,5
ninja van bermasalah dan tidak mendapatkan ketegasan dr pihak toped.. komplain dr tgl 15 sampai saat ini blm terselesaikan.. katanya belanja aman dan nyaman.. ga sesuai faktanya,1
ok mantap,5
toko prencur Dimas dan Tias ikon peko santri pesantren peko ternys ta dibikin sambal tatin,5
saldo dana saya ilang kesedot apk tokopedia apakah bisa kembali. tolong bantuan nya untuk kembali,5
"akunku ga bisa login min,bantuu cek inn",1
cocok bnget,5
semoga amanah,5
"Seperti yang sudah², E-Commerce yang sering nipu user dengan vocer belanja umurnya gk bakal lama terutama developernya. Kalau gk cepirit 7x sehari ya mati ketiban atap. 👍",1
aplikasi lemottt,1
"paket saya gatau di puter puter kemana saat pengiriman, hadehh kecewa banget deh",2
"sangat puas belaja di sini, Sukses terus buat team pengembang. .",5
Semoga sukses selalu,5
program yang bagus...,5
"lelet saat di pencarian ,dan yang di cri gak muncul atau beda dengan kata kunci ,.",1
"Sekarang fitur search dalam tokonya kenapa jadi bosok sekali... Jelas² barangnya ada dan tersedia, tapi waktu dicari pakai kata kunci malah bilangnya produk tidak ditemukan......",1
Mau milih metode pembayaran ngga bisa. Cuma layar putih.,2
kebanyakan ngelag mending di shopee,1
komplain yg tanpa dijawab AI sebelah mana...paham tidak jawbn AI malah bikin ribet,1
ribet,1
lemot,1
sangat puas PO,5
"Saya sebagai seller merasa kecewa dan sangat dirugikan atas adanya vocher yg kalian buat dan keputusan yg gak masuk akal yg team cs kalian lakukan Tanpa ada unboxing dan minimnya bukti, bisanya sengketa dimenangkan oleh si penipu (pembeli) tanpa barang saya dikirim balik.. Uang hilang, barang juga ilang. Saya pastikan saya akan off jualan di tokopedia",1
"pembelian produk menggunakan pembayaran ""Gopay later"" yang sudah di lunasi ~2 hari setelah pembayaran produk. Ketika pembelian di batalkan, saldo Gopay saya yang di gunakan untuk melunasi ""Gopay later"" tidak di kembalikan",1
mksh tokopedia,5
josss,5
oke dpt promo,5
"lu aplikasi udah kalah sama shopee cok.. mending di akusisi sama shopee dah dari pada bangkrut 🤣🤣🤣. ongkir lu kemahalan, opsi layanan kurir aja susah amat. diskon berasa bayar bea cukai 50% dari harga barang 😂😂 kocak.",1
"Sudah tidak aman. Akun saya tiba2 statusnya nonaktif, dengan keterangan DINONAKTIFKAN SECARA MANDIRI, padahal saya tidak pernah menonaktifkan akun. Orderan saya total sekitar 450rb belum ada yang saya terima. pas mau ngecek riwayat transaksi akun sudah tidak bisa dibuka. Mengajukan komplain melalui Tokopedia care, tidak ada notifikasi atau tanggapan yang masuk melalui email atau WA.",1
"makin banyak yang baru, 1. pop up rekomendasi prodak setelah memasukan prodak yang ingin di beli muncul berkali kali akhirnya ga jadi beli. 2. teks putih di atas background putis saat membuka home toko yang dituju. 3. konten review prodak yang nge loop tanpa loading konten baru. 4. prodak yang di jual di tiap berubah jadi prodak yang direkomendasikan tokped dan irelevant dengan toko yang sedang di check. masa buka toko politron munculnya lemari dan samsung jual gerinda ryu. update teroooos",2
aplikasi bagus transaksi pakai dana cepet,5
Tolong fitur tidak ingin melihat barang yang serupa nya betul-betul di koreksi berapa kali saya pencet barang yang sama sebagai iklan muncul terus ganggu banget,2
tokopedia melindungi kepentingan konsumen dan penjual,5
menyulitkan seller malah ada app pihak ketiga tiktok senter? buat apa? tambah ribet! hey developer mikir,1
assalamualaikum apa kah barang asli atau penipuan gak kalo gak saya beli hp bagusssssss toko pedia nya🥰😍😍😍😍😍😍,5
ok mantab,4
mantap,5
"Tidak bisa mengirim gambar ulasan penilaian barang dari galeri. harus foto langsung. tolong dikembalikan lagi seperti sebelum update, bisa kirim foto dari pilihan galeri",1
tokped jing gaada respon tokped care gaguna prcuma,1
"​​Pesanan saya barang tidak ada, seler minta pembatalan karena barang kosong tetapi sampai saat ini pembatalan belum dikonfirmasi dan dana belum dikembalikan, tokopedia sekarang sangat BURUK, ulasan mengenai pembatalan dan pengembalian dipersulit,",1
proses pengembalian dana nya 14 hari kerja parah banget. mending sebelah,1
mantap,5
"pelayanan customer servicenya buruk,",2
siip,5
